Geo Point;Geo Shape;gid;num_materiel;type;insee;sens_orientation;orientation;tmjo_tv;tmjo_vl;tmjo_pl;hpm_tv;hps_tv;v85_vl;v85_pl;annee;semaine;orientation_av_2021;cdate;mdate
44.8651979, -0.5860369;"{""coordinates"": [-0.5860369, 44.8651979], ""type"": ""Point""}";3892;;COMPTAGE_ROUTIER;33069;2;OUEST;1366;1357;9;99;177;43.7;40.4;2022;du lundi 05/09/2022 au dimanche 11/09/2022;;2023-12-15T17:00:25+01:00;2024-02-14T15:12:17+01:00
44.8649629, -0.5845149;"{""coordinates"": [-0.5845149, 44.8649629], ""type"": ""Point""}";3893;;COMPTAGE_ROUTIER;33069;1;NORD;2948;2941;7;248;310;39.5;35.8;2022;du lundi 05/09/2022 au dimanche 11/09/2022;;2023-12-15T17:00:25+01:00;2024-02-14T15:12:17+01:00
44.8653699, -0.5836959;"{""coordinates"": [-0.5836959, 44.8653699], ""type"": ""Point""}";3896;;COMPTAGE_ROUTIER;33069;1;EST;339;336;3;49;24;17.0;17.0;2022;du lundi 05/09/2022 au dimanche 11/09/2022;;2023-12-15T17:00:25+01:00;2024-02-14T15:12:17+01:00
44.8655869, -0.5800189;"{""coordinates"": [-0.5800189, 44.8655869], ""type"": ""Point""}";3897;;COMPTAGE_ROUTIER;33069;1;EST;23;23;0;2;3;38.3;;2022;du lundi 05/09/2022 au dimanche 11/09/2022;;2023-12-15T17:00:25+01:00;2024-02-14T15:12:17+01:00
44.8656269, -0.580019;"{""coordinates"": [-0.580019, 44.8656269], ""type"": ""Point""}";3898;;COMPTAGE_ROUTIER;33069;2;OUEST;2081;2068;13;125;213;46.4;39.8;2022;du lundi 05/09/2022 au dimanche 11/09/2022;;2023-12-15T17:00:25+01:00;2024-02-14T15:12:17+01:00
44.8657869, -0.5772359;"{""coordinates"": [-0.5772359, 44.8657869], ""type"": ""Point""}";3899;;COMPTAGE_ROUTIER;33069;1;EST;3;3;0;1;0;42.4;;2022;du lundi 02/05/2022 au dimanche 08/05/2022;;2023-12-15T17:00:25+01:00;2024-02-14T15:12:17+01:00
44.8642959, -0.5856079;"{""coordinates"": [-0.5856079, 44.8642959], ""type"": ""Point""}";3901;;COMPTAGE_ROUTIER;33069;2;OUEST;74;73;1;5;8;17.2;17.0;2022;du lundi 05/09/2022 au dimanche 11/09/2022;;2023-12-15T17:00:25+01:00;2024-02-14T15:12:17+01:00
44.8635749, -0.5854019;"{""coordinates"": [-0.5854019, 44.8635749], ""type"": ""Point""}";3906;;COMPTAGE_ROUTIER;33069;2;OUEST;630;625;5;39;67;41.3;44.0;2022;du lundi 05/09/2022 au dimanche 11/09/2022;;2023-12-15T17:00:25+01:00;2024-02-14T15:12:17+01:00
44.8637449, -0.5831179;"{""coordinates"": [-0.5831179, 44.8637449], ""type"": ""Point""}";3909;;COMPTAGE_ROUTIER;33069;2;OUEST;58;57;1;6;4;21.8;17.0;2022;du lundi 05/09/2022 au dimanche 11/09/2022;;2023-12-15T17:00:25+01:00;2024-02-14T15:12:17+01:00
44.8685769, -0.595347;"{""coordinates"": [-0.595347, 44.8685769], ""type"": ""Point""}";3911;;COMPTAGE_ROUTIER;33069;1;EST;1795;1793;1;190;151;44.7;38.2;2022;du lundi 05/09/2022 au dimanche 11/09/2022;;2023-12-15T17:00:25+01:00;2024-02-14T15:12:17+01:00
